"","title","type","score","scored_by","members","episodes","source","start_year"
"20549","UP Miao Zhiwu Kepu","tv",NA,2,24,30,"original",NA
"20550","UP Miao Zhiwu Kepu 2nd Season","tv",NA,2,24,26,"original",NA
"20551","Shenqi A You: Zui Qiang Liuxing Ren","tv",NA,1,24,52,"original",NA
"20552","Hua Jingling: Xiha Da Maoxian","tv",NA,1,24,26,"original",NA
"20553","Dahua Sanguo","ona",NA,2,24,36,"other",NA
"20554","Xiaobing De Gushi","ona",NA,1,24,10,"other",NA
"20555","Xiao Po Hai: You Neihan","tv",NA,3,24,30,"original",NA
"20556","Baozou Donghua","ona",NA,2,24,9,NA,NA
"20557","Shu Lao San Jin Cheng Ji 2","movie",NA,2,24,1,"original",NA
"20558","Jimu Ji","movie",NA,3,24,1,"original",NA
"20559","Wai Mao Zhan Zaosheng","movie",NA,6,24,1,"other",NA
"20560","Milu Chuanqi","tv",NA,3,24,26,NA,NA
"20561","Xiao Yingtao: Wu Gang Chuanqi","tv",NA,4,24,26,"manga",NA
"20562","Chao Neng Long Qi Xia","movie",NA,2,24,1,"original",2017
"20563","Guo Guo Qi Xia Chuan","tv",NA,3,24,40,"original",NA
"20564","Fengkuang Chou Xiao Ya","movie",NA,2,24,1,"original",2016
"20565","Dong Zhiwu Dazhan","movie",NA,1,24,1,"original",2016
"20566","Hong Lou Meng","tv",NA,2,24,108,"novel",NA
"20567","Qi Qu Meng Gong Fang","tv",NA,2,24,52,"original",NA
"20568","Kaixin Sishu","tv",NA,1,24,64,"original",NA
"20569","Douya Nongchang","tv",NA,1,24,40,"original",NA
"20570","Jidian Xiao Xinshi","tv",NA,2,24,36,"original",NA
"20571","Xiao Chong Sanbao","tv",NA,2,24,52,"original",NA
"20572","Makesi Shuo Jingji Weiji","tv",NA,2,24,8,NA,NA
"20573","Wanpi Fu Duo","tv",NA,2,24,39,"original",NA
"20574","Meimiao Licheng","tv",NA,2,24,20,"original",NA
"20575","Wudi YoYo","tv",NA,2,24,100,"original",NA
"20576","Bobo Lixian Ji","tv",NA,2,24,52,"original",NA
